src,trg,pred,accuracy
Our eyes take time to adjust to the dark.,我 们 的 眼 睛 需 要 时 间 来 适 应 黑 暗 。,我 们 的 眼 睛 需 要 时 间 来 适 应 黑 暗 。 上 时,16

"""""""Is he right?"""" """"I don't think so.""""""",""" "" "" 他 是 對 的 嗎 ? "" "" "" "" 我 不 這 麼 認 為 。 "" "" """,""" "" 他 他 認 誰 不 , ? "" "" "" "" 我 不 認 樣 大 為 他 "" "" "" """,15

A famous architect built this house.,一 个 有 名 的 建 筑 师 造 了 这 个 房 子 。,一 个 有 名 的 建 筑 师 造 了 这 栋 房 子 。 。 上 上 上,15

His daughter has become a pretty woman.,他 的 女 兒 已 經 成 為 了 一 個 漂 亮 的 女 人 。,他 的 女 兒 已 經 變 为 一 一 個 女 亮 的 女 人 。 。,14

His wife is in the hospital because she was injured in a car crash.,他 的 妻 子 在 醫 院 裡 因 為 她 在 一 場 車 禍 中 受 傷 了 。,他 的 妻 子 在 醫 院 的 是 为 她 太 醫 場 合 禍 中 受 歡 。 。 上 的 的,14

"""I know him by sight, but not by name.""",我 知 道 他 的 样 子 ， 但 不 知 道 他 的 名 字 。,我 知 道 他 的 名 子 不 但 不 知 道 他 。 。 字 。,14

I have been in Kobe since 1980.,我 從 1 9 8 0 年 開 始 一 直 在 神 戶 。,我 從 1 9 8 5 年 開 始 一 直 在 神 戶 上 下 直 直 直 直 直 直 直 直 直 直 直 直,14

When did you begin playing golf?,你 什 麼 時 候 開 始 打 高 爾 夫 球 ？,你 什 麼 時 候 開 始 打 高 爾 夫 球 ？ ? 一 一,14

He told me an interesting story.,他 告 訴 了 我 一 個 有 趣 的 故 事 。,他 给 訴 了 我 一 個 有 趣 的 故 事 。 。 發 發 發,13

I spent the whole day reading that novel.,我 一 整 天 都 在 看 这 本 小 说 。,我 一 整 天 都 在 看 这 本 小 说 。 上 。 。 。 。 。 。 。 。 。 。 。 。 。 。,13

